"REF_AREA","INDICATOR","GENDER","AGE_CLASS","CITIZENSHIP","OBS_VALUE"
"034003","RESPOP_AV","T","Y10-19","TOTAL","229"
"034003","RESPOP_AV","T","Y20-29","FRGAPO","33"
"034003","RESPOP_AV","T","Y20-29","ITL","220"
"034003","RESPOP_AV","T","Y20-29","TOTAL","253"
"034003","RESPOP_AV","T","Y30-39","FRGAPO","52"
"034003","RESPOP_AV","T","Y30-39","ITL","200"
"034003","RESPOP_AV","T","Y30-39","TOTAL","252"
"034003","RESPOP_AV","T","Y40-49","FRGAPO","42"
"034003","RESPOP_AV","T","Y40-49","ITL","329"
"034003","RESPOP_AV","T","Y40-49","TOTAL","371"
"034003","RESPOP_AV","T","Y50-59","FRGAPO","24"
"034003","RESPOP_AV","T","Y50-59","ITL","466"
"034003","RESPOP_AV","T","Y50-59","TOTAL","490"
"034003","RESPOP_AV","T","Y60-69","FRGAPO","14"
"034003","RESPOP_AV","T","Y60-69","ITL","438"
"034003","RESPOP_AV","T","Y60-69","TOTAL","452"
"034003","RESPOP_AV","T","Y70-79","FRGAPO","10"
"034003","RESPOP_AV","T","Y70-79","ITL","484"
"034003","RESPOP_AV","T","Y70-79","TOTAL","494"
"034003","RESPOP_AV","T","Y80-89","FRGAPO","5"
"034003","RESPOP_AV","T","Y80-89","ITL","323"
"034003","RESPOP_AV","T","Y80-89","TOTAL","328"
"034003","RESPOP_AV","T","Y90-99","ITL","73"
"034003","RESPOP_AV","T","Y90-99","TOTAL","73"
"034004","RESPOP_AV","F","TOTAL","FRGAPO","108"
"034004","RESPOP_AV","F","TOTAL","ITL","826"
"034004","RESPOP_AV","F","TOTAL","TOTAL","934"
"034004","RESPOP_AV","F","Y_GE100","ITL","1"
"034004","RESPOP_AV","F","Y_GE100","TOTAL","1"
"034004","RESPOP_AV","F","Y0-9","FRGAPO","13"
"034004","RESPOP_AV","F","Y0-9","ITL","36"
"034004","RESPOP_AV","F","Y0-9","TOTAL","49"
"034004","RESPOP_AV","F","Y10-19","FRGAPO","10"
"034004","RESPOP_AV","F","Y10-19","ITL","45"
"034004","RESPOP_AV","F","Y10-19","TOTAL","55"
"034004","RESPOP_AV","F","Y20-29","FRGAPO","10"
"034004","RESPOP_AV","F","Y20-29","ITL","44"
