anno_inizio,provincia,ordine_scuola,alunni_ritardo,alunni,quota_ritardo
2020,PARMA,SCUOLA SECONDARIA II GRADO,3299,18764,0.17581539117458964
2020,MODENA,SCUOLA PRIMARIA,682,31932,0.02135788550670174
2020,MODENA,SCUOLA SECONDARIA II GRADO,6665,34735,0.19188138764934504
2020,FERRARA,SCUOLA PRIMARIA,395,12589,0.03137659861784097
2020,PARMA,SCUOLA SECONDARIA I GRADO,806,12603,0.0639530270570499
2020,RAVENNA,SCUOLA SECONDARIA II GRADO,2576,15028,0.17141336172478042
2020,REGGIO EMILIA,SCUOLA PRIMARIA,571,24864,0.022964929214929215
2020,PARMA,SCUOLA PRIMARIA,511,19493,0.026214538552300826
2020,MODENA,SCUOLA SECONDARIA I GRADO,1211,20771,0.058302440903182325
2020,RIMINI,SCUOLA SECONDARIA I GRADO,377,9285,0.04060312331717825
2020,PIACENZA,SCUOLA PRIMARIA,409,11921,0.034309202248133545
2020,REGGIO EMILIA,SCUOLA SECONDARIA II GRADO,4578,21943,0.20863145422230325
2020,PIACENZA,SCUOLA SECONDARIA I GRADO,578,7511,0.07695380109173212
2020,FORLI'-CESENA,SCUOLA SECONDARIA I GRADO,572,11291,0.050659817553803915
2020,FERRARA,SCUOLA SECONDARIA I GRADO,628,8432,0.07447817836812144
2020,REGGIO EMILIA,SCUOLA SECONDARIA I GRADO,902,16141,0.05588253515891209
2020,PIACENZA,SCUOLA SECONDARIA II GRADO,2211,12013,0.1840506118371764
